pos	nr	name	diff	1	2	3	4	5	6	7	8	9	10	avg
1	1	Daan	NA	41,83	39,45	40,78	40,22	41,48	41,49	41,7	39,77	40,08	43,14	40,99
2	35	Steven	0,74	41,76	40,84	42,14	40,39	40,34	40,63	43,29	40,31	39,09	41,08	40,99
3	6	Dietrick	1,45	41,88	41,88	38,83	38,61	40,02	39,8	47,37	38,88	38,89	38,25	40,44
4	38	Paul	14,18	41,03	39,17	40,07	39,09	41,12	61,04	42,54	39,39	41,52	40,24	42,52
5	27	Joost	18,38	42,18	40,71	40,43	46,64	41,88	49,11	40,42	40,14	44,63	39,48	42,56
6	11	Jeroen	21,54	42,69	43,76	40,78	42,56	42,32	49,12	40,87	41,87	42,72	41,29	42,80
7	40	Bob	22,57	42,98	44,49	40,48	42,38	41,6	49,22	42,62	40,13	42,82	41,7	42,84
8	60	Ruben	23,93	43,4	44,82	63,45	40,43	41,01	39,24	39,13	39,2	39,38	39,24	42,93
9	21	Thijs	NA	43,14	43,05	41,26	70,31	45,43	52,3	45,2	47,8			48,56
10	46	Alice	NA	48,97	44,4	48,68	99	49,47	44,16	55,89				55,80
